state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Arizona,AZ,Apache,2026,TRUE,6,3428785.771,1421.548,1563.01,3223217.69,32725898.056,1.06378,0.000441,0.000485,100,0,0,0,0,0,0.9095,2193.7069,-66.13,-65.03,-64.3
Arizona,AZ,Cochise,2020,FALSE,4,1683841.084,95.389,1289.336,2351590.92,24173837.737,0.71604,0.000041,0.000548,40.75,59.25,0,0,0,0,0.074,1305.9754,,,
Arizona,AZ,Cochise,2021,FALSE,4,1832432.632,202.799,1673.497,2195297.04,23141620.959,0.83471,0.000092,0.000762,61.89,38.11,0,0,0,0,0.1212,1094.9722,8.82,112.6,29.8
Arizona,AZ,Cochise,2022,FALSE,4,1861522.233,292.6,1753.877,2144586.4,22046575.542,0.86801,0.000136,0.000818,64.86,35.14,0,0,0,0,0.1668,1061.3756,1.59,44.28,4.8
Arizona,AZ,Cochise,2023,FALSE,4,1483122.023,138.887,1183.104,2037924.24,20687363.112,0.72776,0.000068,0.000581,52.39,47.61,0,0,0,0,0.1174,1253.5855,-20.33,-52.53,-32.54
Arizona,AZ,Cochise,2024,FALSE,4,1542733.812,32.493,1113.608,2423774.84,24093378.194,0.6365,0.000013,0.000459,54.17,45.83,0,0,0,0,0.0292,1385.3473,4.02,-76.6,-5.87
Arizona,AZ,Cochise,2025,FALSE,6,1611699.832,69.485,1377.907,2243246.81,23474171.109,0.71847,0.000031,0.000614,52.82,47.18,0,0,0,0,0.0504,1169.6724,4.47,113.85,23.73
Arizona,AZ,Cochise,2026,TRUE,6,505619.094,8.115,374.26,818541.51,8046225.956,0.61771,0.00001,0.000457,44.32,55.68,0,0,0,0,0.0217,1350.9835,-68.63,-88.32,-72.84
Arizona,AZ,Maricopa,2020,FALSE,33,15863966.224,80.084,1870.674,37382392.91,266941588.452,0.42437,0.000002,0.00005,0,100,0,0,0,0,0.0428,8480.3478,,,
Arizona,AZ,Maricopa,2021,FALSE,36,15378445.138,77.635,1330.707,35476777.59,258771633.562,0.43348,0.000002,0.000038,0,100,0,0,0,0,0.0583,11556.5975,-3.06,-3.06,-28.86
